<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US1.XOM;D;13/04/22;000000;86.8600000
US1.XOM;D;14/04/22;000000;87.7900000
US1.XOM;D;18/04/22;000000;88.5700000
US1.XOM;D;19/04/22;000000;87.7900000
US1.XOM;D;20/04/22;000000;87.9800000
US1.XOM;D;21/04/22;000000;87.0600000
US1.XOM;D;22/04/22;000000;85.1300000
US1.XOM;D;25/04/22;000000;82.2600000
US1.XOM;D;26/04/22;000000;82.3000000
US1.XOM;D;27/04/22;000000;84.6000000
US1.XOM;D;28/04/22;000000;87.2600000
US1.XOM;D;29/04/22;000000;85.1500000
US1.XOM;D;02/05/22;000000;86.4300000
US1.XOM;D;03/05/22;000000;88.1900000
US1.XOM;D;04/05/22;000000;91.6900000
US1.XOM;D;05/05/22;000000;90.3500000
US1.XOM;D;06/05/22;000000;91.7200000
US1.XOM;D;09/05/22;000000;84.5300000
US1.XOM;D;10/05/22;000000;85.0400000
US1.XOM;D;11/05/22;000000;86.7900000
US1.XOM;D;12/05/22;000000;86.3400000
US1.XOM;D;13/05/22;000000;88.8300000
US1.XOM;D;16/05/22;000000;90.9600000
US1.XOM;D;17/05/22;000000;92.0900000
US1.XOM;D;18/05/22;000000;90.6900000
US1.XOM;D;19/05/22;000000;91.1700000
US1.XOM;D;20/05/22;000000;91.8600000
US1.XOM;D;23/05/22;000000;93.8900000
US1.XOM;D;24/05/22;000000;94.4400000
US1.XOM;D;25/05/22;000000;96.3200000
US1.XOM;D;26/05/22;000000;96.6600000
US1.XOM;D;27/05/22;000000;97.5900000
US1.XOM;D;31/05/22;000000;96.0900000
US1.XOM;D;01/06/22;000000;97.8600000
US1.XOM;D;02/06/22;000000;97.6200000
US1.XOM;D;03/06/22;000000;99.1000000
US1.XOM;D;06/06/22;000000;98.8500000
US1.XOM;D;07/06/22;000000;103.3400000
US1.XOM;D;08/06/22;000000;104.5500000
US1.XOM;D;09/06/22;000000;102.3200000
US1.XOM;D;10/06/22;000000;100.4600000
US1.XOM;D;13/06/22;000000;95.8800000
US1.XOM;D;14/06/22;000000;96.1000000
US1.XOM;D;15/06/22;000000;94.8400000
US1.XOM;D;16/06/22;000000;91.4000000
US1.XOM;D;17/06/22;000000;86.0800000
US1.XOM;D;21/06/22;000000;91.4800000
US1.XOM;D;22/06/22;000000;87.9200000
US1.XOM;D;23/06/22;000000;85.2200000
US1.XOM;D;24/06/22;000000;86.9500000
US1.XOM;D;27/06/22;000000;89.0700000
US1.XOM;D;28/06/22;000000;91.5200000
US1.XOM;D;29/06/22;000000;88.1300000
US1.XOM;D;30/06/22;000000;85.7400000
US1.XOM;D;01/07/22;000000;87.5700000
US1.XOM;D;05/07/22;000000;84.8100000
US1.XOM;D;06/07/22;000000;83.2800000
US1.XOM;D;07/07/22;000000;85.9100000
US1.XOM;D;08/07/22;000000;86.0800000
US1.XOM;D;11/07/22;000000;85.6200000
US1.XOM;D;12/07/22;000000;84.5300000
US1.XOM;D;13/07/22;000000;84.8300000
US1.XOM;D;14/07/22;000000;83.1400000
US1.XOM;D;15/07/22;000000;84.6000000
US1.XOM;D;18/07/22;000000;86.1000000
US1.XOM;D;19/07/22;000000;88.2300000
US1.XOM;D;20/07/22;000000;89.2400000
US1.XOM;D;21/07/22;000000;87.7900000
US1.XOM;D;22/07/22;000000;87.1300000
US1.XOM;D;25/07/22;000000;89.9700000
US1.XOM;D;26/07/22;000000;89.6000000
US1.XOM;D;27/07/22;000000;91.5500000
US1.XOM;D;28/07/22;000000;92.6700000
US1.XOM;D;29/07/22;000000;96.9600000
US1.XOM;D;01/08/22;000000;94.5000000
US1.XOM;D;02/08/22;000000;94.0800000
US1.XOM;D;03/08/22;000000;91.0000000
US1.XOM;D;04/08/22;000000;87.1900000
US1.XOM;D;05/08/22;000000;88.4500000
US1.XOM;D;08/08/22;000000;88.9200000
US1.XOM;D;09/08/22;000000;90.5900000
US1.XOM;D;10/08/22;000000;91.4300000
US1.XOM;D;11/08/22;000000;93.1900000
US1.XOM;D;12/08/22;000000;94.0000000
US1.XOM;D;15/08/22;000000;92.3200000
US1.XOM;D;16/08/22;000000;91.4500000
US1.XOM;D;17/08/22;000000;92.2200000
US1.XOM;D;18/08/22;000000;94.3900000
US1.XOM;D;19/08/22;000000;94.0300000
US1.XOM;D;22/08/22;000000;94.0600000
US1.XOM;D;23/08/22;000000;97.9900000
US1.XOM;D;24/08/22;000000;98.5800000
US1.XOM;D;25/08/22;000000;99.1700000
US1.XOM;D;26/08/22;000000;97.8800000
US1.XOM;D;29/08/22;000000;100.1200000
US1.XOM;D;30/08/22;000000;96.3000000
US1.XOM;D;31/08/22;000000;95.6200000
US1.XOM;D;01/09/22;000000;93.8700000
US1.XOM;D;02/09/22;000000;95.6000000
US1.XOM;D;06/09/22;000000;94.9500000
US1.XOM;D;07/09/22;000000;94.1300000
US1.XOM;D;08/09/22;000000;94.8800000
US1.XOM;D;09/09/22;000000;96.5100000
US1.XOM;D;12/09/22;000000;97.6300000
US1.XOM;D;13/09/22;000000;95.3400000
US1.XOM;D;14/09/22;000000;97.6700000
US1.XOM;D;15/09/22;000000;94.8300000
US1.XOM;D;16/09/22;000000;93.2200000
US1.XOM;D;19/09/22;000000;93.1800000
US1.XOM;D;20/09/22;000000;92.4500000
US1.XOM;D;21/09/22;000000;90.8700000
US1.XOM;D;22/09/22;000000;90.5600000
US1.XOM;D;23/09/22;000000;85.7600000
US1.XOM;D;26/09/22;000000;84.0000000
US1.XOM;D;27/09/22;000000;85.7600000
US1.XOM;D;28/09/22;000000;88.8100000
US1.XOM;D;29/09/22;000000;88.6900000
US1.XOM;D;30/09/22;000000;87.4700000
US1.XOM;D;03/10/22;000000;91.8900000
US1.XOM;D;04/10/22;000000;95.2600000
US1.XOM;D;05/10/22;000000;99.1000000
US1.XOM;D;06/10/22;000000;102.0100000
US1.XOM;D;07/10/22;000000;101.1100000
US1.XOM;D;10/10/22;000000;98.8600000
US1.XOM;D;11/10/22;000000;98.0150000
US1.XOM;D;12/10/22;000000;98.4000000
US1.XOM;D;13/10/22;000000;101.8900000
US1.XOM;D;14/10/22;000000;99.3400000
US1.XOM;D;17/10/22;000000;100.6400000
US1.XOM;D;18/10/22;000000;100.8700000
US1.XOM;D;19/10/22;000000;103.8100000
US1.XOM;D;20/10/22;000000;103.9100000
US1.XOM;D;21/10/22;000000;105.8700000
US1.XOM;D;24/10/22;000000;106.5700000
US1.XOM;D;25/10/22;000000;105.8700000
US1.XOM;D;26/10/22;000000;107.1700000
US1.XOM;D;27/10/22;000000;107.7600000
US1.XOM;D;28/10/22;000000;110.6800000
US1.XOM;D;31/10/22;000000;110.8200000
US1.XOM;D;01/11/22;000000;112.0000000
US1.XOM;D;02/11/22;000000;109.5600000
US1.XOM;D;03/11/22;000000;111.1000000
US1.XOM;D;04/11/22;000000;112.4000000
US1.XOM;D;07/11/22;000000;113.6800000
US1.XOM;D;08/11/22;000000;114.0500000
US1.XOM;D;09/11/22;000000;108.9200000
US1.XOM;D;10/11/22;000000;110.4400000
US1.XOM;D;11/11/22;000000;113.9100000
US1.XOM;D;14/11/22;000000;113.4100000
US1.XOM;D;15/11/22;000000;114.1300000
US1.XOM;D;16/11/22;000000;112.9000000
US1.XOM;D;17/11/22;000000;113.0900000
US1.XOM;D;18/11/22;000000;112.1400000
US1.XOM;D;21/11/22;000000;110.9900000
US1.XOM;D;22/11/22;000000;114.2000000
